,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,SN,,,,N,,,,MEI,,,,,,,
,CÓDIGO DO SERVIÇO,DESCRIÇÃO DO SERVIÇO,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,,,,
,703M,"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,704M,Demolição.,"1,00%",NT,NT,NT,"5,00%","11,00%",NT,NT,NT,NT,NT,NT,,"Sim, para empreitada parcial -  Art.  117 -III",,
,705M-Manut mensal,"Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,,,Manutenção predial
,705M-Execução,"Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).","1,00%",NT,NT,NT,"5,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,execução de obra
,706M,"Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.","1,00%",NT,NT,NT,"5,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,
,707M,"Recuperação, raspagem, polimento e lustração de pisos e congêneres.","1,00%",NT,NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,,,
,708M,Calafetação.,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,709M-Cacamba,"Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,709M-Coleta e Limp,"Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,,,
,710M,"Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,"Sim, Art. 117 - I  - Simples Nacional anexo IV",,
,711M,"Decoração e jardinagem, inclusive corte e poda de árvores.","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,"Sim, Art. 117 - I  - Simples Nacional anexo IV",,
,712M,"Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos.","1,00%",art 118,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,,"Sim, Se sessão de Mão de obra- Art. 118- V (OBS - TRIBUTADA NO ANEXO IV)",,
,713M,"Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,"Sim, Art. 117 - I  - Simples Nacional anexo IV",,
,716M,"Florestamento, reflorestamento, semeadura, adubação e congêneres.","1,00%","11,00%",NT,NT,"5,00%","11,00%",NT,NT,NT,NT,NT,NT,,"Sim, Art. 117 - IV",, 
,717M-Execução,"Escoramento, contenção de encostas e serviços congêneres.","1,00%",NT,NT,NT,"5,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,Execução isolada
,717M-Manutenção,"Escoramento, contenção de encostas e serviços congêneres.","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,,,"Manutenção, limpeza e consercação"
,718M,"Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,"Sim, Art. 117 - I ",, 
,719M,"Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,720M,"Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,721M,"Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,722M,Nucleação e bombardeamento de nuvens e congêneres.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,801M,"Ensino regular pré escolar, fundamental, médio e superior.","1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de Mao de Obra-Art.118 -X - vide Resp. consulta 34/2012",,
,802M,"Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.","1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de Mao de Obra-Art.118 -X - vide Resp. consulta 34/2012",,
,901M,"Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, aparthotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,," Sim, se Sessão de Mao de Obra -  B.legal -art. 118  - VII",,
,902M,"Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,"1,50%",NT,NT,NT,NT,,,,
,903M,Guias de turismo.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,1001M,"Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.","1,00%",NT,NT,NT,"5,00%",NT,NT,"1,50%",NT,NT,NT,NT,,,,
,1002M,"Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.","1,00%",NT,NT,NT,"5,00%",NT,NT,"1,50%",NT,NT,NT,NT,,,,
,1003M,"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.","1,00%",NT,NT,NT,"5,00%",NT,NT,"1,50%",NT,NT,NT,NT,,,,
,1004M,"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).","1,00%",NT,NT,NT,"5,00%",NT,NT,"1,50%",NT,NT,NT,NT,,,,
,1005M,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.","1,00%",NT,NT,NT,"5,00%",NT,NT,"1,50%",NT,NT,NT,NT,,,,
,1006M,Agenciamento marítimo.,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1007M,Agenciamento de notícias.,"1,00%",NT,NT,NT,"5,00%",NT,NT,"1,50%",NT,NT,NT,NT,,,,
,1008M,"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.","1,00%",NT,NT,NT,"5,00%",art 118,NT,"1,50%",NT,NT,NT,NT,,"Sim, se sessão de Mao de Obra - Art. 118 - XXI",,
,1009M,"Representação de qualquer natureza, inclusive comercial.","1,00%",NT,NT,NT,"5,00%",art 118,NT,"1,50%",NT,NT,NT,NT,,"Sim, se sessão de Mao de Obra - Art. 118 - XXI e XXIV ",,
,1010M,Distribuição de bens de terceiros.,"1,00%",NT,NT,NT,"5,00%",art 118,NT,"1,50%",NT,NT,NT,NT,,"Sim , se o serviço for prestado mediante telefonia ou telemarketing, que envolvam a operação de centrais ou de aparelhos telefônicos ou de teleatendimento-Art 118-XXIV",,
,1101M,"Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,00%",NT,NT,NT,NT,,,,
,1102M-Mao Obra,"Vigilância, segurança  com pessoas","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,Sim. Exceto Monitoramento Eletronico. Deduçao de Material-Art. 117 - II,,
,1102M-Monitoramento,"Vigilância, segurança  monitoramento eletronico","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,00%",NT,NT,NT,NT,,,,
,1103M,"Escolta, inclusive de veículos e cargas.","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,"Sim, Art. 117 - II",,
,1104M,"Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,,"Sim, Se Sessão de Mao de Obra -  B.legal -art. 118  - III",,
,1201M,Espetáculos teatrais.,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1202M,Exibições cinematográficas.,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1203M,Espetáculos circenses.,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1204M,Programas de auditório.,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1205M,"Parques de diversões, centros de lazer e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,1206M,"Boates, taxi-dancing e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
